"AgeGroup","slice","hour","ref_weight","occ_endpoint","m_endpoint","keep_thr01","keep_thr02","keep_thr05","keep_thr10","keep_thr20"
"10-17",1,0,5.23882418726291e-85,6.27153441835999e-120,4.42685346538519,FALSE,FALSE,FALSE,FALSE,FALSE
"10-17",2,0.25,6.85401514324488e-77,4.67249721543975e-110,4.42685346538519,FALSE,FALSE,FALSE,FALSE,FALSE
"10-17",3,0.5,3.22976303845574e-69,1.25382997333081e-100,4.42685346538518,FALSE,FALSE,FALSE,FALSE,FALSE
"10-17",4,0.75,5.48164166808919e-62,1.21183251037395e-91,4.42685346538519,FALSE,FALSE,FALSE,FALSE,FALSE
"10-17",5,1,3.35092766945746e-55,4.21852771568799e-83,4.42685346538518,FALSE,FALSE,FALSE,FALSE,FALSE
"10-17",6,1.25,7.37792135926554e-49,5.28924362163744e-75,4.42685346538519,FALSE,FALSE,FALSE,FALSE,FALSE
"10-17",7,1.5,5.85083566660043e-43,2.38858441913404e-67,4.42685346538519,FALSE,FALSE,FALSE,FALSE,FALSE
"10-17",8,1.75,1.67115856237163e-37,3.88509807984077e-60,4.42685346538519,FALSE,FALSE,FALSE,FALSE,FALSE
"10-17",9,2,1.71923783661022e-32,2.27602888673079e-53,4.4268534653852,FALSE,FALSE,FALSE,FALSE,FALSE
"10-17",10,2.25,6.37059686587314e-28,4.80250698067965e-47,4.42685346538527,FALSE,FALSE,FALSE,FALSE,FALSE
"10-17",11,2.5,8.50296217891518e-24,3.64983189912845e-41,4.42685346538582,FALSE,FALSE,FALSE,FALSE,FALSE
"10-17",12,2.75,4.08847673814228e-20,9.99062850606865e-36,4.42685346538994,FALSE,FALSE,FALSE,FALSE,FALSE
"10-17",13,3,7.08443958277531e-17,9.84983900995546e-31,4.42685346542103,FALSE,FALSE,FALSE,FALSE,FALSE
"10-17",14,3.25,4.42810163848639e-14,3.49772253833254e-26,4.42685346565566,FALSE,FALSE,FALSE,FALSE,FALSE
"10-17",15,3.5,1.00099699930735e-11,4.47374441925737e-22,4.42685346742637,FALSE,FALSE,FALSE,FALSE,FALSE
"10-17",16,3.75,8.24182061627534e-10,2.06116705571895e-18,4.42685348079147,FALSE,FALSE,FALSE,FALSE,FALSE
"10-17",17,4,2.5182465636323e-08,3.42124790203794e-15,4.42685358170677,FALSE,FALSE,FALSE,FALSE,FALSE
"10-17",18,4.25,2.99051284766697e-07,2.04685035386869e-12,4.42685434445479,FALSE,FALSE,FALSE,FALSE,FALSE
"10-17",19,4.5,1.52449086871358e-06,4.4194644752718e-10,4.42686012538515,FALSE,FALSE,FALSE,FALSE,FALSE
"10-17",20,4.75,3.95894120607906e-06,3.45582045832167e-08,4.4269042605428,FALSE,FALSE,FALSE,FALSE,FALSE
"10-17",21,5,6.9577259295142e-06,9.88087854783816e-07,4.4272474460538,FALSE,FALSE,FALSE,FALSE,FALSE
"10-17",22,5.25,1.33410987256395e-05,1.0605707018317e-05,4.43002250922275,FALSE,FALSE,FALSE,FALSE,FALSE
"10-17",23,5.5,3.05131588460367e-05,4.59206317019043e-05,4.45359420550087,FALSE,FALSE,FALSE,FALSE,FALSE
"10-17",24,5.75,5.8386330770839e-05,9.67668194895605e-05,4.64125766679725,FALSE,FALSE,FALSE,FALSE,FALSE
"10-17",25,6,9.28052141898323e-05,0.00014572721704796,5.56614365356497,FALSE,FALSE,FALSE,FALSE,FALSE
"10-17",26,6.25,0.000144938536723898,0.000220479097912269,7.24550173235505,FALSE,FALSE,FALSE,FALSE,FALSE
"10-17",27,6.5,0.000237649274095898,0.000321842038549608,8.06027482027875,TRUE,FALSE,FALSE,FALSE,FALSE
"10-17",28,6.75,0.000420694723404035,0.000472230016197101,7.33117866091421,TRUE,FALSE,FALSE,FALSE,FALSE
"10-17",29,7,0.00087527011980369,0.000920483725643189,5.93864455776511,TRUE,TRUE,FALSE,FALSE,FALSE
"10-17",30,7.25,0.00228982658337044,0.00243036401950108,5.05319622211788,TRUE,TRUE,TRUE,FALSE,FALSE
"10-17",31,7.5,0.00624017202541669,0.00651777300516767,4.62547380321609,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",32,7.75,0.0133498298901358,0.013634747852049,4.47235091473197,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",33,8,0.0205710851709863,0.0206864924224683,4.46831145968431,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",34,8.25,0.0246915086770428,0.0246384076080341,4.5313782832533,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",35,8.5,0.0262983726929426,0.0261667856931652,4.60072564625977,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",36,8.75,0.0269898994100438,0.026837458831384,4.64636842664029,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",37,9,0.0273977881170824,0.0272967939673305,4.68345214826826,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",38,9.25,0.02768383130251,0.0276548857678055,4.7311338813046,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",39,9.5,0.0279457667787192,0.0279613430788336,4.78368845254648,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",40,9.75,0.0282020867171792,0.0282500117831704,4.82881318148405,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",41,10,0.0284055736144802,0.0284580830220922,4.8622726367132,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",42,10.25,0.02853050576883,0.0285747388750158,4.88029952612009,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",43,10.5,0.0286004833943443,0.0286551589859972,4.89142782402433,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",44,10.75,0.0286568554653305,0.0287373179230327,4.90313176136373,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",45,11,0.0287147402114125,0.0288378857675367,4.91565026860541,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",46,11.25,0.0287380803038304,0.0289088971580764,4.92557202936707,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",47,11.5,0.0286862651033536,0.0289015929126001,4.93020253766712,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",48,11.75,0.0285852619455079,0.0288718761956534,4.93852463894476,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",49,12,0.0284669290889656,0.0288674213370757,4.95916744440288,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",50,12.25,0.0283336540723589,0.0288690978221011,4.97485356804648,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",51,12.5,0.0281322929120354,0.0288223546613934,4.97659839998549,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",52,12.75,0.0277405867467073,0.0286314541098177,4.98041476021124,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",53,13,0.0270959411615538,0.0282146001655123,5.01413703742106,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",54,13.25,0.0262713147818776,0.0276208236173925,5.08540374795243,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",55,13.5,0.0252051414129428,0.0267385790614561,5.1806828376106,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",56,13.75,0.0237153345748761,0.025174307490684,5.33156892533361,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",57,14,0.0217872922465004,0.0227592644116727,5.60138642887478,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",58,14.25,0.0197860265246308,0.020153316444314,5.91719766357297,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",59,14.5,0.017958172758685,0.0178828115050505,6.16557333898958,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",60,14.75,0.0162085152662971,0.0159050928492945,6.3467262058839,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",61,15,0.0144343314378372,0.0141189132601639,6.48692937474826,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",62,15.25,0.0128242931582256,0.0125688123047401,6.61812858113366,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",63,15.5,0.0116434590285131,0.0113112305654739,6.73605443181573,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",64,15.75,0.0108664743703094,0.0103513421713498,6.82823797325748,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",65,16,0.0103599888045389,0.00970511243991327,6.90544961693215,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",66,16.25,0.0100616497536968,0.00931165821660743,6.99763788105918,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",67,16.5,0.00997963308869714,0.00919576908658291,7.03916365871245,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",68,16.75,0.010068441864236,0.00936956568412231,7.05371901794186,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",69,17,0.0101492868847389,0.00964824388410887,7.12126619113801,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",70,17.25,0.0100643831929676,0.00976264271317311,7.28479999972037,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",71,17.5,0.00985958253569565,0.00966688258547195,7.50726735620283,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",72,17.75,0.00963770912074067,0.00953372053901197,7.71561945030134,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",73,18,0.00934562874292275,0.00939993011713935,7.93426778567453,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",74,18.25,0.00900723248438959,0.00916812216689361,8.20166310297564,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",75,18.5,0.00873607729299317,0.00892900776439507,8.43620893560777,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",76,18.75,0.00850891208425996,0.00866762969258075,8.5925874283472,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",77,19,0.00819452540314811,0.00819531975088092,8.78380858920955,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",78,19.25,0.00775668884717977,0.00755525934736061,9.06737566095373,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",79,19.5,0.0072702198389466,0.00688482570617747,9.40376836044498,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",80,19.75,0.00677635783369932,0.00625950542654285,9.67443345120708,TRUE,TRUE,TRUE,TRUE,TRUE
"10-17",81,20,0.00624390827535935,0.00571108991730312,9.8470839881426,TRUE,TRUE,TRUE,TRUE,FALSE
"10-17",82,20.25,0.00568869023901367,0.00522902773632902,10.0696816775117,TRUE,TRUE,TRUE,TRUE,FALSE
"10-17",83,20.5,0.00515840179121648,0.00476161605672251,10.4914375666472,TRUE,TRUE,TRUE,TRUE,FALSE
"10-17",84,20.75,0.00466447465325717,0.00429049215860339,11.1275398645715,TRUE,TRUE,TRUE,TRUE,FALSE
"10-17",85,21,0.00416788194830897,0.00380506888259322,11.8418876080913,TRUE,TRUE,TRUE,TRUE,FALSE
"10-17",86,21.25,0.00370936246837492,0.0033546472650119,12.4166249915924,TRUE,TRUE,TRUE,TRUE,FALSE
"10-17",87,21.5,0.00333694270847439,0.00297769827903406,12.7932332693956,TRUE,TRUE,TRUE,TRUE,FALSE
"10-17",88,21.75,0.00302154292772449,0.0026755291208125,13.0337356656681,TRUE,TRUE,TRUE,FALSE,FALSE
"10-17",89,22,0.00272688201444009,0.00242626679798872,13.3262939491725,TRUE,TRUE,TRUE,FALSE,FALSE
"10-17",90,22.25,0.00247285760071959,0.0021944817954883,13.6737538344196,TRUE,TRUE,TRUE,FALSE,FALSE
"10-17",91,22.5,0.00228163729083275,0.0020123481798699,13.9735160210861,TRUE,TRUE,TRUE,FALSE,FALSE
"10-17",92,22.75,0.00213773728010241,0.00190300359055024,14.1465788136951,TRUE,TRUE,TRUE,FALSE,FALSE
"10-17",93,23,0.00200742143543148,0.00181611183295224,14.4060606411007,TRUE,TRUE,TRUE,FALSE,FALSE
"10-17",94,23.25,0.00181070850703355,0.0016454607563475,14.8645242440532,TRUE,TRUE,TRUE,FALSE,FALSE
"10-17",95,23.5,0.0013091234474634,0.0011930583304635,15.1747604328538,TRUE,TRUE,FALSE,FALSE,FALSE
"10-17",96,23.75,0.000552052242010827,0.000505789188945167,15.2680538544168,TRUE,FALSE,FALSE,FALSE,FALSE
"18-30",1,0,5.88995532799529e-43,1.28206350720805e-48,4.20363800338962,FALSE,FALSE,FALSE,FALSE,FALSE
